parent_asin,year_month,feature_name,contribution
B001ICYB2M,2016-01,history_3m_review_count,19.4
B001ICYB2M,2016-01,history_12m_review_count,18.9
B001ICYB2M,2016-01,history_1m_review_count,34.5
B001M8K5TU,2016-01,history_12m_low_rating_ratio,51.7
B001M8K5TU,2016-01,history_3m_low_rating_ratio,21.5
B001M8K5TU,2016-01,history_6m_low_rating_ratio,55.0
B001M8K5TU,2016-01,low_rating_ratio,31.9
B001M8K5TU,2016-01,history_3m_vs_6m_low_rating_ratio_delta,1.9
B001M8K5TU,2016-01,history_3m_vs_12m_low_rating_ratio_delta,4.6
B001M8K5TU,2016-01,avg_rating,31.2
B001M8K5TU,2016-01,history_12m_avg_rating,56.0
B001M8K5TU,2016-01,history_6m_avg_rating,56.7
B001M8K5TU,2016-01,history_3m_avg_rating,35.3
B001M8K5TU,2016-01,review_count,58.5
B001M8K5TU,2016-01,history_3m_review_count,62.4
B001M8K5TU,2016-01,history_12m_review_count,39.6
B001M8K5TU,2016-01,history_1m_review_count,94.1
B0029CZQIS,2016-01,history_12m_low_rating_ratio,23.4
B0029CZQIS,2016-01,history_3m_low_rating_ratio,34.2
B0029CZQIS,2016-01,history_6m_low_rating_ratio,29.5
B0029CZQIS,2016-01,low_rating_ratio,9.8
B0029CZQIS,2016-01,history_3m_vs_6m_low_rating_ratio_delta,60.0
B0029CZQIS,2016-01,history_3m_vs_12m_low_rating_ratio_delta,66.9
B0029CZQIS,2016-01,avg_rating,23.9
B0029CZQIS,2016-01,history_12m_avg_rating,27.4
B0029CZQIS,2016-01,history_6m_avg_rating,32.4
B0029CZQIS,2016-01,history_3m_avg_rating,23.8
B0029CZQIS,2016-01,review_count,69.0
B0029CZQIS,2016-01,history_3m_review_count,93.0
B0029CZQIS,2016-01,history_12m_review_count,47.3
B0029CZQIS,2016-01,history_1m_review_count,80.9
B002JAKRAM,2016-01,history_12m_low_rating_ratio,34.7
B002JAKRAM,2016-01,history_3m_low_rating_ratio,42.4
B002JAKRAM,2016-01,history_6m_low_rating_ratio,35.4
B002JAKRAM,2016-01,low_rating_ratio,49.6
B002JAKRAM,2016-01,history_3m_vs_6m_low_rating_ratio_delta,68.5
B002JAKRAM,2016-01,history_3m_vs_12m_low_rating_ratio_delta,63.4
B002JAKRAM,2016-01,avg_rating,45.5
B002JAKRAM,2016-01,history_12m_avg_rating,40.8
B002JAKRAM,2016-01,history_6m_avg_rating,44.4
B002JAKRAM,2016-01,history_3m_avg_rating,47.8
B002JAKRAM,2016-01,review_count,17.0
B002JAKRAM,2016-01,history_3m_review_count,10.8
B002JAKRAM,2016-01,history_12m_review_count,7.3
B002JAKRAM,2016-01,history_1m_review_count,19.5
B002MPLYEW,2016-01,history_12m_low_rating_ratio,65.5
B002MPLYEW,2016-01,history_3m_low_rating_ratio,56.4
B002MPLYEW,2016-01,history_6m_low_rating_ratio,60.9
B002MPLYEW,2016-01,low_rating_ratio,90.2
B002MPLYEW,2016-01,history_3m_vs_6m_low_rating_ratio_delta,30.6
B002MPLYEW,2016-01,history_3m_vs_12m_low_rating_ratio_delta,24.7
B002MPLYEW,2016-01,avg_rating,91.9
B002MPLYEW,2016-01,history_12m_avg_rating,78.0
B002MPLYEW,2016-01,history_6m_avg_rating,71.9
B002MPLYEW,2016-01,history_3m_avg_rating,65.4
B002MPLYEW,2016-01,review_count,32.6
B002MPLYEW,2016-01,history_3m_review_count,37.5
B002MPLYEW,2016-01,history_12m_review_count,28.9
B002MPLYEW,2016-01,history_1m_review_count,25.4
B002UQ107O,2016-01,history_12m_low_rating_ratio,88.2
B002UQ107O,2016-01,history_3m_low_rating_ratio,78.7
B002UQ107O,2016-01,history_6m_low_rating_ratio,91.6
B002UQ107O,2016-01,low_rating_ratio,71.2
B002UQ107O,2016-01,history_3m_vs_6m_low_rating_ratio_delta,1.4
B002UQ107O,2016-01,history_3m_vs_12m_low_rating_ratio_delta,13.2
B002UQ107O,2016-01,avg_rating,52.6
B002UQ107O,2016-01,history_12m_avg_rating,87.5
B002UQ107O,2016-01,history_6m_avg_rating,90.4
B002UQ107O,2016-01,history_3m_avg_rating,66.0
B002UQ107O,2016-01,review_count,58.5
B002UQ107O,2016-01,history_3m_review_count,96.2
B002UQ107O,2016-01,history_12m_review_count,71.1
B002UQ107O,2016-01,history_1m_review_count,90.6
B002YPC2NM,2016-01,history_12m_low_rating_ratio,46.4
B002YPC2NM,2016-01,history_3m_low_rating_ratio,54.9
B002YPC2NM,2016-01,history_6m_low_rating_ratio,54.5
B002YPC2NM,2016-01,low_rating_ratio,74.0
B002YPC2NM,2016-01,history_3m_vs_6m_low_rating_ratio_delta,53.7
B002YPC2NM,2016-01,history_3m_vs_12m_low_rating_ratio_delta,71.6
B002YPC2NM,2016-01,avg_rating,72.6
B002YPC2NM,2016-01,history_12m_avg_rating,48.0
B002YPC2NM,2016-01,history_6m_avg_rating,50.9
B002YPC2NM,2016-01,history_3m_avg_rating,46.4
B002YPC2NM,2016-01,review_count,63.5
B002YPC2NM,2016-01,history_3m_review_count,84.3
B002YPC2NM,2016-01,history_12m_review_count,70.3
B002YPC2NM,2016-01,history_1m_review_count,86.0
B0032AMC9C,2016-01,history_12m_low_rating_ratio,29.1
B0032AMC9C,2016-01,history_3m_low_rating_ratio,38.5
B0032AMC9C,2016-01,history_6m_low_rating_ratio,32.7
B0032AMC9C,2016-01,low_rating_ratio,89.1
B0032AMC9C,2016-01,history_3m_vs_6m_low_rating_ratio_delta,64.7
B0032AMC9C,2016-01,history_3m_vs_12m_low_rating_ratio_delta,65.4
B0032AMC9C,2016-01,avg_rating,89.3
B0032AMC9C,2016-01,history_12m_avg_rating,27.9
B0032AMC9C,2016-01,history_6m_avg_rating,25.9
B0032AMC9C,2016-01,history_3m_avg_rating,19.7
B0032AMC9C,2016-01,review_count,74.4
B0032AMC9C,2016-01,history_3m_review_count,96.2
B0032AMC9C,2016-01,history_12m_review_count,76.3
B0032AMC9C,2016-01,history_1m_review_count,86.0
B0032JTS5E,2016-01,history_12m_low_rating_ratio,38.9
B0032JTS5E,2016-01,history_3m_low_rating_ratio,33.2
B0032JTS5E,2016-01,history_6m_low_rating_ratio,33.9
B0032JTS5E,2016-01,low_rating_ratio,46.9
B0032JTS5E,2016-01,history_3m_vs_6m_low_rating_ratio_delta,38.7
B0032JTS5E,2016-01,history_3m_vs_12m_low_rating_ratio_delta,28.0
B0032JTS5E,2016-01,avg_rating,47.3
B0032JTS5E,2016-01,history_12m_avg_rating,44.8
B0032JTS5E,2016-01,history_6m_avg_rating,35.8
B0032JTS5E,2016-01,history_3m_avg_rating,35.8
B0032JTS5E,2016-01,review_count,15.5
B0032JTS5E,2016-01,history_3m_review_count,15.6
B0032JTS5E,2016-01,history_12m_review_count,8.4
B0032JTS5E,2016-01,history_1m_review_count,24.0
B003AXVADA,2016-01,history_12m_low_rating_ratio,23.6
B003AXVADA,2016-01,history_3m_low_rating_ratio,15.7
B003AXVADA,2016-01,history_6m_low_rating_ratio,36.8
B003AXVADA,2016-01,low_rating_ratio,9.8
B003AXVADA,2016-01,history_3m_vs_6m_low_rating_ratio_delta,6.0
B003AXVADA,2016-01,history_3m_vs_12m_low_rating_ratio_delta,20.5
B003AXVADA,2016-01,avg_rating,12.2
B003AXVADA,2016-01,history_12m_avg_rating,34.8
B003AXVADA,2016-01,history_6m_avg_rating,36.9
B003AXVADA,2016-01,history_3m_avg_rating,26.9
B003AXVADA,2016-01,review_count,69.0
B003AXVADA,2016-01,history_3m_review_count,88.3
B003AXVADA,2016-01,history_12m_review_count,75.0
B003AXVADA,2016-01,history_1m_review_count,94.1
B003BIGDLI,2016-01,history_12m_low_rating_ratio,5.5
B003BIGDLI,2016-01,history_3m_low_rating_ratio,26.9
B003BIGDLI,2016-01,history_6m_low_rating_ratio,10.8
B003BIGDLI,2016-01,low_rating_ratio,9.8
B003BIGDLI,2016-01,history_3m_vs_6m_low_rating_ratio_delta,83.2
B003BIGDLI,2016-01,history_3m_vs_12m_low_rating_ratio_delta,81.2
B003BIGDLI,2016-01,avg_rating,2.2
B003BIGDLI,2016-01,history_12m_avg_rating,10.4
B003BIGDLI,2016-01,history_6m_avg_rating,8.7
B003BIGDLI,2016-01,history_3m_avg_rating,14.1
B003BIGDLI,2016-01,review_count,69.0
B003BIGDLI,2016-01,history_3m_review_count,80.0
B003BIGDLI,2016-01,history_12m_review_count,71.1
B003BIGDLI,2016-01,history_1m_review_count,86.0
B0042ACZU2,2016-01,history_12m_low_rating_ratio,12.1
B0042ACZU2,2016-01,history_3m_low_rating_ratio,22.1
B0042ACZU2,2016-01,history_6m_low_rating_ratio,25.0
B0042ACZU2,2016-01,low_rating_ratio,36.0
B0042ACZU2,2016-01,history_3m_vs_6m_low_rating_ratio_delta,31.5
B0042ACZU2,2016-01,history_3m_vs_12m_low_rating_ratio_delta,63.5
B0042ACZU2,2016-01,avg_rating,54.4
B0042ACZU2,2016-01,history_12m_avg_rating,19.0
B0042ACZU2,2016-01,history_6m_avg_rating,29.2
B0042ACZU2,2016-01,history_3m_avg_rating,29.0
B0042ACZU2,2016-01,review_count,69.0
B0042ACZU2,2016-01,history_3m_review_count,37.5
B0042ACZU2,2016-01,history_12m_review_count,16.3
B0042ACZU2,2016-01,history_1m_review_count,75.4
B0045LLC7K,2016-01,history_12m_low_rating_ratio,29.7
B0045LLC7K,2016-01,history_3m_low_rating_ratio,41.8
B0045LLC7K,2016-01,history_6m_low_rating_ratio,35.5
B0045LLC7K,2016-01,low_rating_ratio,29.7
B0045LLC7K,2016-01,history_3m_vs_6m_low_rating_ratio_delta,66.8
B0045LLC7K,2016-01,history_3m_vs_12m_low_rating_ratio_delta,70.7
B0045LLC7K,2016-01,avg_rating,43.3
B0045LLC7K,2016-01,history_12m_avg_rating,31.5
B0045LLC7K,2016-01,history_6m_avg_rating,35.2
B0045LLC7K,2016-01,history_3m_avg_rating,35.2
B0045LLC7K,2016-01,review_count,18.7
B0045LLC7K,2016-01,history_3m_review_count,15.8
B0045LLC7K,2016-01,history_12m_review_count,11.1
B0045LLC7K,2016-01,history_1m_review_count,39.6
B004EBT7YQ,2016-01,history_12m_low_rating_ratio,36.2
B004EBT7YQ,2016-01,history_3m_low_rating_ratio,47.2
B004EBT7YQ,2016-01,history_6m_low_rating_ratio,44.3
B004EBT7YQ,2016-01,low_rating_ratio,59.5
B004EBT7YQ,2016-01,history_3m_vs_6m_low_rating_ratio_delta,59.0
B004EBT7YQ,2016-01,history_3m_vs_12m_low_rating_ratio_delta,71.1
B004EBT7YQ,2016-01,avg_rating,61.4
B004EBT7YQ,2016-01,history_12m_avg_rating,47.9
B004EBT7YQ,2016-01,history_6m_avg_rating,48.8
B004EBT7YQ,2016-01,history_3m_avg_rating,55.8
B004EBT7YQ,2016-01,review_count,40.0
B004EBT7YQ,2016-01,history_3m_review_count,33.5
B004EBT7YQ,2016-01,history_12m_review_count,26.8
B004EBT7YQ,2016-01,history_1m_review_count,39.6
B004H3XSYG,2016-01,history_12m_low_rating_ratio,20.9
B004H3XSYG,2016-01,history_3m_low_rating_ratio,34.2
B004H3XSYG,2016-01,history_6m_low_rating_ratio,26.7
B004H3XSYG,2016-01,low_rating_ratio,9.8
B004H3XSYG,2016-01,history_3m_vs_6m_low_rating_ratio_delta,67.8
B004H3XSYG,2016-01,history_3m_vs_12m_low_rating_ratio_delta,71.2
B004H3XSYG,2016-01,avg_rating,2.2
B004H3XSYG,2016-01,history_12m_avg_rating,24.8
B004H3XSYG,2016-01,history_6m_avg_rating,25.9
B004H3XSYG,2016-01,history_3m_avg_rating,35.1
B004H3XSYG,2016-01,review_count,43.0
B004H3XSYG,2016-01,history_3m_review_count,66.5
B004H3XSYG,2016-01,history_12m_review_count,42.8
B004H3XSYG,2016-01,history_1m_review_count,98.2
B004RQDY60,2016-01,history_12m_low_rating_ratio,9.2
B004RQDY60,2016-01,history_3m_low_rating_ratio,30.0
B004RQDY60,2016-01,history_6m_low_rating_ratio,14.2
B004RQDY60,2016-01,low_rating_ratio,9.8
B004RQDY60,2016-01,history_3m_vs_6m_low_rating_ratio_delta,82.9
B004RQDY60,2016-01,history_3m_vs_12m_low_rating_ratio_delta,79.8
B004RQDY60,2016-01,avg_rating,2.2
B004RQDY60,2016-01,history_12m_avg_rating,11.1
B004RQDY60,2016-01,history_6m_avg_rating,15.3
B004RQDY60,2016-01,history_3m_avg_rating,33.6
B004RQDY60,2016-01,review_count,63.5
B004RQDY60,2016-01,history_3m_review_count,27.5
B004RQDY60,2016-01,history_12m_review_count,20.7
B004RQDY60,2016-01,history_1m_review_count,28.6
B004XLDE5A,2016-01,history_12m_low_rating_ratio,66.1
B004XLDE5A,2016-01,history_3m_low_rating_ratio,75.2
B004XLDE5A,2016-01,history_6m_low_rating_ratio,75.9
B004XLDE5A,2016-01,low_rating_ratio,38.4
B004XLDE5A,2016-01,history_3m_vs_6m_low_rating_ratio_delta,55.9
B004XLDE5A,2016-01,history_3m_vs_12m_low_rating_ratio_delta,83.4
B004XLDE5A,2016-01,avg_rating,39.6
B004XLDE5A,2016-01,history_12m_avg_rating,65.6
B004XLDE5A,2016-01,history_6m_avg_rating,75.5
B004XLDE5A,2016-01,history_3m_avg_rating,74.1
B004XLDE5A,2016-01,review_count,74.4
B004XLDE5A,2016-01,history_3m_review_count,64.4
B004XLDE5A,2016-01,history_12m_review_count,51.0
B004XLDE5A,2016-01,history_1m_review_count,99.0
B004XLDEAU,2016-01,history_12m_low_rating_ratio,8.4
B004XLDEAU,2016-01,history_3m_low_rating_ratio,3.1
B004XLDEAU,2016-01,history_6m_low_rating_ratio,3.8
B004XLDEAU,2016-01,low_rating_ratio,75.5
B004XLDEAU,2016-01,history_3m_vs_6m_low_rating_ratio_delta,30.5
B004XLDEAU,2016-01,history_3m_vs_12m_low_rating_ratio_delta,18.4
B004XLDEAU,2016-01,avg_rating,66.8
B004XLDEAU,2016-01,history_12m_avg_rating,5.3
B004XLDEAU,2016-01,history_6m_avg_rating,1.6
B004XLDEAU,2016-01,history_3m_avg_rating,1.6
B004XLDEAU,2016-01,review_count,89.2
B004XLDEAU,2016-01,history_3m_review_count,47.0
B004XLDEAU,2016-01,history_12m_review_count,53.3
B004XLDEAU,2016-01,history_1m_review_count,80.9
B0051S4ZZM,2016-01,history_12m_low_rating_ratio,42.6
B0051S4ZZM,2016-01,history_3m_low_rating_ratio,31.7
B0051S4ZZM,2016-01,history_6m_low_rating_ratio,48.9
B0051S4ZZM,2016-01,low_rating_ratio,27.0
B0051S4ZZM,2016-01,history_3m_vs_6m_low_rating_ratio_delta,8.7
B0051S4ZZM,2016-01,history_3m_vs_12m_low_rating_ratio_delta,19.7
B0051S4ZZM,2016-01,avg_rating,33.0
B0051S4ZZM,2016-01,history_12m_avg_rating,44.5
B0051S4ZZM,2016-01,history_6m_avg_rating,48.8
B0051S4ZZM,2016-01,history_3m_avg_rating,35.5
B0051S4ZZM,2016-01,review_count,43.0
B0051S4ZZM,2016-01,history_3m_review_count,90.1
B0051S4ZZM,2016-01,history_12m_review_count,79.5
B0051S4ZZM,2016-01,history_1m_review_count,80.9
B0052FXC9Y,2016-01,history_12m_low_rating_ratio,63.5
B0052FXC9Y,2016-01,history_3m_low_rating_ratio,76.2
B0052FXC9Y,2016-01,history_6m_low_rating_ratio,77.9
B0052FXC9Y,2016-01,low_rating_ratio,66.1
B0052FXC9Y,2016-01,history_3m_vs_6m_low_rating_ratio_delta,50.2
B0052FXC9Y,2016-01,history_3m_vs_12m_low_rating_ratio_delta,87.7
B0052FXC9Y,2016-01,avg_rating,84.2
B0052FXC9Y,2016-01,history_12m_avg_rating,74.0
B0052FXC9Y,2016-01,history_6m_avg_rating,84.4
B0052FXC9Y,2016-01,history_3m_avg_rating,82.4
B0052FXC9Y,2016-01,review_count,49.9
B0052FXC9Y,2016-01,history_3m_review_count,66.5
B0052FXC9Y,2016-01,history_12m_review_count,78.7
B0052FXC9Y,2016-01,history_1m_review_count,64.0
B0053F7UIM,2016-01,history_12m_low_rating_ratio,14.9
B0053F7UIM,2016-01,history_3m_low_rating_ratio,14.3
B0053F7UIM,2016-01,history_6m_low_rating_ratio,13.8
B0053F7UIM,2016-01,low_rating_ratio,9.8
