topic,rating,review_text,matched_other_topics,is_correct,note
leak_damage,4.0,simple design that works great only complaint is that it s hard to screw simple design that works great only complaint is that it s hard to screw in the stopper and it sometimes leaks,,,
durability_failure,2.0,worked for less than 6 months yes the product did work and was cheaper than ordering directly from manufacturer but it just stopped working again after 5 months not happy oh and i tried to reorder and the price went from 88 to 135,,,
performance,5.0,best dryer duct ever i used this as the air outlet duct for a gas dryer if possible go to the website for the instructional video the package did not come with instructions also be sure to extend the duct ends about 6 before installing the end caps otherwise it wo not work took 10 minutes including watching the video twice,,,
build_quality,5.0,purely functional unlike the flimsy plastic vent tubes that seem to collect lint this has a smooth inner wall with a full 4 id throughout that allows air to flow nicely even thru the bends,,,
incompatibility,5.0,perfect fit excellent quality fast delivery perfect match for the one we broke nothing exciting to report it works price was very good i checked the manufacturers part number on line with the model for microwave easy to find on inside of microwave be sure to buy the right one these are not universal to all microwaves,durability_failure,,
performance,4.0,i liked them they do not work on my keurig,,,
performance,1.0,the size of the capsule is wrong way to small these capsules are way too small and does not work,incompatibility,,
purchase_warning,1.0,this product is complete junk do not buy it worked for maybe two weeks poorly packaged and very low quality i repurchased thinking maybe we got a dud but that was not the case do not waste your money,"build_quality,shipping_packaging",,
incompatibility,1.0,did not fit the tray it s self was fine even though i ordered it according to the model number of my refrigerator it did not fit so i returned it,return_intent,,
performance,1.0,not compatible they do not work with my keurig they leak all around outside of pod holder,"incompatibility,leak_damage",,
incompatibility,5.0,wrong size wrong size,,,
refund_warranty_cs,1.0,listen to the reviews magnet is not strong enough just like many of the other reviews stated this magnet is not strong enough to hold the door closed now i can t get it off to return for a refund so i m stuck with it,return_blocked,,
refund_warranty_cs,1.0,lasted just long enough so it was out of warranty lasted only 14 months i got what i paid for my next is going for original equipment ca not afford to dismantle put in a new one every year i bought the cheap unit and it did not last buyer beware,"durability_failure,purchase_warning",,
leak_damage,1.0,do not buy when installed in my samsung fridge this filter slowly leaked water into the drawer below i guess it does not seal properly i was very lucky that i checked because if i had not i would have woken up in the morning to my fridge sitting in a giant puddle of water these filters do not seal they leak you will end up with in damage do not buy these,purchase_warning,,
refund_warranty_cs,1.0,total garbage this is the biggest piece of garbage in my house i bought the five year extended warranty and this thing is so bad there nothing that can be done to save it every single shelf and drawer is broken all of them not covered by warranty do not but this or any other samsung appliance,durability_failure,,
return_intent,2.0,way to noisy this water cooler is so noisy i have leveled it per the instructions and it is still noisy if it would not be so much to ship it back i would have returned it the day i plugged it in,,,
water_taste_filter,5.0,cheaper custom coffee pods use daily abt 2 3 pods taste i m pretty sensitive to odors flavors tasted no plastic or odd aftertaste cleaning easy enough dump grinds run thru hot water soap filling tried coffee measuring spoon to fill but often spilled now pour coffee from a narrow glass bottle but obviously somewhat inconsistent measurements bottom line fill with desired coffee much cheaper than pre,,,
refund_warranty_cs,5.0,fit and fixed my oven even with a home warranty replacing this myself was cheaper then the deductible to have it repaired professionally it took about 5 min to replace and my wife was cooking with it right after,,,
performance,1.0,very disappointing all 4 filters didn t work the first had a water flow for several days then dropped to a trickle the rest were the same way i rarely use the water dispenser so it took me awhile past return date to realize i had a bad order sad too as this filter reports to be a better filtering filter than the more expensive lg factory model it replaces,return_blocked,,
purchase_warning,5.0,works perfect no issues whatsoever it works great i have had no issues with it whatsoever i recommend it especially as opposed to using paper filters that s just a waste of money,,,
purchase_warning,2.0,not good for cold brew water does not saturate well i have been making cold brew with this bag for 2 weeks two out of the 4 times i have used it despite agitating and dunking the sealed bag i will pull it out 18 hours later to see that not all of the coffee grounds are even wet the stitching in the bag seems to be too tight for water to saturate it well i would not recommend this for cold brew eve,,,
performance,5.0,problem is it freezes the whole fridge that s good it is after 4 years at max level which the one i purchased 4 years ago says page unavailable i do own this fridge even if it does not say verified purchase the reason i did not did not decide to review it till it broke i googled how long doe a mini fridge last avg 5 yrs thing is it still works but only on high if i turn it from 7 to 6 it just clic,durability_failure,,
performance,4.0,quick replacement our first order was for the 2 pack and one did not work it was returned and the replacement was received quickly it works and we are very pleased with the service,,,
return_intent,4.0,nice to look at these were nice to look at but they just aren t for me i returned them,,,
build_quality,2.0,easy but poor quality like samsung oem part about had it with these cheap parts samsung original failed very fast this is my 2nd one of these in 18 months and it s failing again poor design by samsung but i would pay for a quality part that does not start sticking in 5 months easy to replace just bad design,durability_failure,,
refund_warranty_cs,1.0,sad worked for a day but made a lot of noise then it stopped making ice and made a pounding noise like a small person in there with a hammer trying to get out alas we were unable to free him they did accept him and the machine back for a refund wish you luck ps hope he got out,,,
incompatibility,1.0,same part number as i had before but has changed i purchased these filters based off of what i had before exact part number and brand but they have changed these would not fit my refrigerator due to a change in the fitting i ultimately went to my local home center at double the price but they did fit,,,
durability_failure,1.0,buy your filters at your local hardware store instead this filter is defective after installing this filter our water started tasting like rubber and plastic we had a whirlpool tech come out thinking that there was something wrong with our water line this was not the case he checked our filter and said that it is known that filters that have been kept shelved before selling can go bad he sees it q,purchase_warning,,
return_intent,1.0,the cooktop would not fit the location i was not able to use the ge cooktop because it would not fit the location on the kitchen counter i had to return it and find another cooktop that would fit the location,incompatibility,,
shipping_packaging,4.0,cool fridge tends to get damaged in shipping easily works as intense the refrigerator keeps things cold and the freezer freezes the first one i reserved was damaged after opening the box but amazon took care of it and brought out a new one and hauled the old one away the second one had some slight damage as well in the side but amazon took care of that as well the 4 star rating reflects the shippi,,,
build_quality,2.0,works but flimsy looks good at first but pretty flimsy one hard pull and you will losen the clips great for temporary use but i guess you get what you paid for buy straight from dealer for quality,,,
durability_failure,5.0,30 and youtube saved our stove our samsung gas oven died unexpectedly one day it just refused to ignite my husband was ready to go look at new ones but i took to the internet instead i found that this was a common issue with our 5 year old range and found a youtube video that showed how to replace the igniter i found this part ordered it and 3 days later have a working oven again cheaper than a ho,,,
misrepresentation,2.0,poor device knock off from edgestar like the edgestar unit this is like the edgestar unit just different color my edgestar version started leaking after 9 months looks like these are cheaply made in china rebranded and resold here,"build_quality,leak_damage",,
incompatibility,1.0,does not fit,,,
return_intent,1.0,beautiful refrigerator however i had to return due to dents beautiful refrigerator however i had to return due to dents on the side and could not get the wobbling to stop,,,
leak_damage,2.0,has never worked properly it is loud and leaks worked ok at first but not impressed,,,
water_taste_filter,2.0,eco friendly but a pain to use if i took a photo you could see the mess this device caused it required more h2o to clean this thing than what it made in coffee plus popping out the used coffee puck is less convenient too lots of sediment going in the bottom of my cup i really wanted to like it but i don t,,,
refund_warranty_cs,2.0,part stopped working after 8 months the first one i received was broken and the second one just stopped working a couple weeks ago from what i can tell the item is outside the warranty hopefully i can get a replacement product from a different vendor,durability_failure,,
return_intent,5.0,i am very happy with my purchase well the mini fridge it s more than what i thought it s cute nice and it does the work i have another of a different brand and we have problems with the temperature i had to send it back then i bought this one and no problems,,,
water_taste_filter,1.0,no good the water tastes terrible with this filter,,,
purchase_warning,1.0,bad buy save you money take s so long to heat up can t even cook probably with the heat on the stove top please save your money and the disappointment,,,
performance,2.0,it does not work as advertised but very inexpensive this product was supposed to attract pet hair and lint in washer it did not work,,,
performance,2.0,part did not work and had to be returned ice maker did not work returned on warranty claim bit of a hassle money refunded,refund_warranty_cs,,
incompatibility,5.0,sheerness thickness warmth is someone losing it what have thickness sheerness and warmth gotta do with paper coffee filters i have a large old fashioned coffee cone filter holder and needed chemex style filters for it unfortunately most of the chemex filters are made with a seam that dissolves under pressure and releases all the grounds into the pot and all of the melita style filters are too smal,,,
purchase_warning,5.0,this is a cool invention but buy some tough tape my husband installed this in about five minutes it heats the laundry room area nicely when the dryer is running i have not noticed any lint build up in the trap but i am really faithful about cleaning out the lint trap on the dryer so i do not think there s much blowing around in the hose we have used this for about a week that s 14 loads of laundry,,,
shipping_packaging,4.0,fit perfectly but arrived cracked fit perfectly but arrived cracked,durability_failure,,
shipping_packaging,2.0,shipped in a plastic bag shipped in a plastic bag arrived dented and stuck together i used them anyway but within a few weeks they need to be replaced not sure what happened but we can t get them clean,,,
durability_failure,5.0,replaces ge part wr55x10018 for dedicated ice maker i have a ge ice maker zdi15cbbn my thermistor broke and the ge part wr55x10018 was double the price of this since the ge and whirlpool ice makers share the same platform i figured this would also work in my ge ice maker works perfectly and at half the price,,,
leak_damage,5.0,15 minutes fix got this for my kitchedaid dishwasher thanks to a video i found on youtube on how to fix the bottom water leak the leak is gone and i am really happy how easy to change was it best 9 dollars i have spent,,,
performance,1.0,does not brew does not work got this to replace my keurig and it does not work never got to try it got it christmas eve to use christmas day wondering if i received a returned item because the box was beat up and the machine was in the box upside down,,,
leak_damage,5.0,best reusable k cup i switched to reusable k cups about 3 years ago and i think i have tried just about every brand out there and these are by far the best all of the other reusable k cups i have tried had lids that just did not have a tight enough seal so sometimes they leaked and i ended up with either grounds in my coffee or water dripping down the sides of my mug these are the first i have tri,,,
leak_damage,5.0,yes these are quiet just make sure that you yes these are quiet just make sure that you get the water seal in right as any slight miss alignment and you have leaks,,,
incompatibility,4.0,wrong size shrink tubing only issue was the heat shrink tube too big to heat shrink and protect the wire end part of the connection the tube is too short need tape or new tubing on your own,,,
durability_failure,5.0,saved me money my top rack keep following off the rack path until i replaced the broken part very easy to put on just make sure your dishwasher is compatible,,,
durability_failure,1.0,collapsed while washer was washing brought these for my wash and dryer set product was said to be very strong even showed a video with two men standing on them however the one for the washer did not last from the second we put it on not sure if it was defective or if it doesn t support the weight as stated,,,
return_intent,5.0,so far so good have had this for about a month and it is quite and is doing a good job got a different one last time and it failed in 2 months it was real noisy from the get go if the pumps are noisy from the start just send it back they will fail in a couple of months this one has been great and will buy from them the next time i need a pump,durability_failure,,
leak_damage,2.0,plastic hose not working well lint catcher not working at all i am writing the review after one month of usage overall the washer is light working but with a couple of problems the hose connecting the faucet and washer has plastic ends that seem not standard sized we got an adaptor which looks a good fit when we try it on the hose in the hardware store turned out leaking the plastic hose for pumpi,,,
incompatibility,5.0,easy peasy i was concern that it would not fit properly but it did simple to attach and hasn t been a problem yet,,,
return_blocked,4.0,product seems decent return policy not so much i bought this then my dryer motor died before it was delivered so i had to replace the whole thing unfortunately this item is non returnable due to the dangerous adhesive in the tube that i did not even open bonus unless you are a certified whirlpool dealer you ca not even resell it on amazon,durability_failure,,
build_quality,5.0,works as described although the knobs came late it was not an emergency to replace good thing that they fit like a glove for our stove whirlpool model sf377pegq serial rk3810696 not going to review on durability just yet because we only had the replacement knob for less than a day however it does not look flimsy at all let s hope it lasts for a long time,,,
durability_failure,4.0,my latest single serve coffee maker i must be a sucker for coffee makers i have gone through keurigs 3 of em icoffee and now cuisinart quite honestly i liked them all for a while the keurigs did not last long and i gave up on them the icoffee was great until it failed it failed under warranty but they refused to do anything about it i was upset amazon refunded me the full purchase price since the ,refund_warranty_cs,,
return_intent,1.0,did not work product did not work in refrigerator going to return for refund defective,"performance,refund_warranty_cs",,
water_taste_filter,5.0,great filter great price great filter great price first few days you may have a little charcoal aftertaste but that goes away quickly much cheaper than the lg filter and just as good or better,,,
misrepresentation,5.0,photo may be misleading but works i order this drum roller wheel replacement since mine broke on my dryer i this it from this buyer because it appeared to be the same as the original one that needed replacing when i received it it was a different wheel the wheel was grey and seemed thinner than the oem wheel once i installed it it worked like the original overall item work like it was supposed to ,durability_failure,,
incompatibility,4.0,not for curved bill the design is pretty sturdy however there were two flaws w it 1 it can not really handle the curved bill well w o making it more flat 2 it does not fit for kid s cap as it advertised,,,
refund_warranty_cs,1.0,have a 5 year warranty but can t get fridge repaired bought the fridge in 2018 with a five year warranty in 2020 called for service because fridge had a strange odor inside tech came out and found a plastic bag had slipped through a hole in the back of the meat drawer and melted against a coil the tech said it was a poor design and removed the plastic he said he would order the part and return in ,,,
incompatibility,5.0,looks different than old one but it s an upgrade i promise it appeared to be the wrong part because the design is much different than what mine looks like but it looks to be redesigned it s actually an upgrade with sturdier parts and slightly smarter function i am very happy with it had it in place for about 3 months now with no problems,,,
build_quality,1.0,i noticed that the dishes were still dirty and that the detergent tray was still half i wanted this to work so badly after my first round of dishwashing i noticed that the dishes were still dirty and that the detergent tray was still half full and damp while investigating issues and following the troubleshooting techniques in the book i noticed that the washing wand was rubbing up against the load,,,
return_intent,2.0,item has stopped working after four months i bought the ice maker so i did not have to buy ice and not have room in my freezer however after four months it has stopped working and i ca not send it back not very satisfied,durability_failure,,
misrepresentation,5.0,actually fits like the oem fuse and works great this fuse appears to be a legit clothes dryer fuse and not a cheap knock off before buying this item i had purchased the cheaper 10 pack for about 7 and the fuses were just slightly larger making them difficult to insert and remove also those cheaper fuses would blow after just a few dryer cycles this supplying demand we1x21975 4248223 clothes dryer ,durability_failure,,
refund_warranty_cs,1.0,unable to use as of now electrical short well i bought a dishwasher that does not work for a lot of money my kitchen is being remodeled so the install was not right away and neither the manufacturer nor seller will warranty it so all i can say is i bought a high end luxury dish washer that does not work do not buy from here,"performance,purchase_warning",,
water_taste_filter,4.0,excellant for the price i am satisfied with this filter it has the slightly angled grooves that my original filter has so it fits and locks in place although it does drip ever so slightly i have placed a small bowl under it to catch the drip there s only a small amount that builds up in the bowl that evaporates so much so i have never had to empty it the water quality is good i use it mostly for m,,,
durability_failure,5.0,just ok did not hold up very long before they cracked,,,
return_intent,2.0,not built to last broke the 1st time it was opened i returned them,durability_failure,,
performance,5.0,works like a charm works like a charm bought a house that had a kitchen aide fridge with an ice maker that did not work after looking online i bought this part and installed it myself glad to have an endless supply of ice again,,,
water_taste_filter,1.0,horrible smell and taste after connecting the water line to the ice maker the ice produced smelled and tasted of metallic chemical after a week of throwing out the ice i disconnect the line at the refrigerator and tested the water which still smelled and tasted of chemicals and metallic the water line it self had the same bad smell i replace the line with a polyethylene line the water through the ,,,
misrepresentation,4.0,not as advertised while it is a nice refrigerator with lots of room it is not stainless steel not important enough to me to return it but if it matters to you look elsewhere,,,
performance,2.0,good for rags but not my clothes i purchased this at a time when i was essentially desperate to save money and thought this would help me do it well it did not work party due to my own lack of dedication to making it work and partly because the machine is cheap and not a good fit for clothes in my humble opinion the machine left my clothes with lint all over them and super wrinkly the dyer seems l,purchase_warning,,
refund_warranty_cs,5.0,great legit replacement fits perfectly works great and it s the official filter so it s got a great warranty did not want to go with a no name generic replacement when it comes to our drinking water,,,
refund_warranty_cs,4.0,no leaks thus far but stay tuned tried the oem replacement and that was a disaster of a leak luckily purchased a cheap insurance policy on that bad joke a very common leaking problem in all the brands made by the parent company according to service guy usually happens right at warranty end imagine that would not recommend any refrigerator product made by this company extremely cheaply made buzzing,"build_quality,leak_damage,purchase_warning",,
leak_damage,5.0,works great and very cheap works great and a much cheaper than samsung filters my only issue and it s a small one but prior to inserting the filter i have to put a little cooking oil around the rubber rings to prevent them from leaking but otherwise they work great,,,
water_taste_filter,5.0,removes easily from filter basket comes out of the reusable baskets easier than other brands we have tried has no effect on the taste or brewing process with the exception of sediment in my coffee is virtually eliminated,,,
purchase_warning,5.0,expensive when only works for 3 months great little ice maker till stops working after 3 months like many others says ice tray full but nothing in there waste of money for that short of time working,,,
return_intent,5.0,not right size one size does not fit all disherwashers this was not the right size i have returned it,incompatibility,,
return_blocked,1.0,only lasted 2 months burned out 1 week after return window closed,durability_failure,,
incompatibility,1.0,these are too small to actually use waste of money half the size they need to be,purchase_warning,,
shipping_packaging,4.0,arrived slightly damaged not sure about how it will function just yet so it arrived ahead of schedule which is awesome the amount of beverages it can hold is pretty incredible but the fridge arrived damaged on the corner of the door it does not seem like it would affect the functionality of it but it s sharp enough that someone who is not aware of it could get cut from it i do not think it s much ,,,
return_intent,1.0,think before you buy this spinner dryer did not even leave the clothes damped it left them soaked company asked for a return i did not hesitate to return the product spin dryer that does not dry at or leave clothes damped who knows maybe it was just a defective one that i received,,,
shipping_packaging,4.0,works well mine arrived dented it s just cosmetic and doesn t interfere with function but still it s kinda annoying to shell out and have it arrive dented,,,
water_taste_filter,4.0,useful and cost effective they aren t quite as convenient as k cups but they save quite a bit in waste and money these pods are very useful and easy to clean my only complaint is that they don t filter as good as a regular filter there is a good amount of sediment but that doesn t really bother me my wife doesn t like the sediment but it s not that big of deal for me i would recommend,,,
misrepresentation,2.0,cheap knock off the set i bought from primeco supply was a cheap knock off the first hub piece i tried to install broke immediately,durability_failure,,
build_quality,5.0,quick easy and affordable repair one of the wheels on the top rack of our whirlpool gold series model wdt910ssym0 had broken this part provided an exact fit replacement of the broken adjuster assembly component containing the wheels the design of the wheel axle on this part appears more sturdy than the original there are a number of videos on youtube which clearly demonstrate how to remove and rep,durability_failure,,
water_taste_filter,1.0,avoid purchasing online i purchased this online thinking it would be a good deal i have purchased lots of things off of amazon warehouse and i have always been pleased with my products the product arrived in damaged packaging as expected that s not an issue because it s amazon warehouse after all the filter itself is correctly installed and has already had well over a dozen gallons of water put th,,,
return_intent,5.0,works way cheaper than samsung and there is three title says most of it simple by removing the plastic wrap and the cap and put it where your water filter was then supposedly use the water in the fridge to get rid of the air trap inside most thing to notice is before you buy your water filter get your filter out of your fridge and check the replacement cartridge number bought wrong model and had t,,,
purchase_warning,2.0,advertised as frigidaire electrolux brand that s why i paid a advertised as frigidaire electrolux brand that s why i paid a little more to get oem quality falsely advertised cheap generic brand does not fit well no phone numbers for customer service only will communicate through email check their reviews online beware,"incompatibility,refund_warranty_cs,misrepresentation",,
water_taste_filter,5.0,eliminates the bad taste of the local tap water i had a bit of trouble removing the old filter but installing the new one was a snap,,,
leak_damage,5.0,i would buy from them again in a heartbeat part fit perfectly and very easy to install saved 230 by verified it was this was leaking folks check out youtube it will have instructions how to troubleshoot and step by step to replace parts,,,
shipping_packaging,4.0,if you do not get a damaged one due to poor shipping you are good to go there are many options that came up with my search using the lg part number from the manual all claiming they were the same part yet they all looked different take the time to look at your motor to ensure it will work my model has 3 prongs for electrical connections and the metal washer do not know the official name is toward ,durability_failure,,
leak_damage,5.0,i am so glad i bought this i have not had it very long so i ca not attest to the longevity but it seems sturdy the suction cups on the bottom work really really well i ca not get the bottom drain to open so i use it in the tub where i can just tip the water out the instructions on how to put it together are almost useless but it was easy enough to figure out because it s handcranked the clothes ar,performance,,
purchase_warning,1.0,poor return policy did not need new in package but amazon return window closed just a few weeks after purchase do not buy,return_blocked,,
misrepresentation,4.0,definitely not oem but will do the job these are not exactly like the ones they replaced but they fit well enough that it wo not likely make a difference they do not seem to be the same material either hopefully that wo not be an issue the price was right,,,
shipping_packaging,1.0,need refund wrong item did not fit i am wanting to return this item and there is no return field exact replacements erb44t10010 bake element,"incompatibility,refund_warranty_cs",,
return_intent,1.0,does not fit right as many others have pointed out it does not fit right on the keurig machine it does not fit tightly against it i would have returned it but it was not worth the effort,incompatibility,,
return_intent,1.0,did not work i was very disappointed because it would not work with the machine had to return,performance,,
durability_failure,1.0,complete piece of over priced crap it breaks down often clogs hard to clean horribly made,,,
leak_damage,4.0,installed very easy the tank valve had a small leak a dab of silicone fix that,,,
water_taste_filter,5.0,gold filters we still use paper filters in these cups but do a much better job of taking out the oil and sediment than those previously used will buy more in future so we can have them made up and ready to use this is our second order of this product we liked them so much we purchased more when another brand started breaking love these cups but will continue to use paper filter in them as it filte,,,
return_intent,1.0,not correct and had to pay for returning it,,,
leak_damage,5.0,perfect replacement perfect replacement for a panda washing machine my oem hose started leaking on the second day of using it ordered this hose and have had no problems since,,,
return_blocked,1.0,junk lg refrigerator i bought an lg refrigerator 2015 since then i had to replace its ice maker compressor and motherboard last time when its motherboard was replaced it stopped running within 2 hours after the replacement lg technician mad a fake report saying that it stopped running due to an electrical issue with our outlet what a ridiculous made up story now lg service is telling me that i nee,"durability_failure,refund_warranty_cs,misrepresentation",,
misrepresentation,1.0,fake and not a 2 pack not a 2 pack filters are not genuine fake knock off,,,
water_taste_filter,1.0,not reusable the pores are tiny and it clogs it does not make it any better even if it is cleaned with vinegar scrubbed with soap or with a pressure wash even if you pore plain water it does not filter that too for those of you who want to use this more than 3 times suggest you go with a filter that is actually reusable perhaps a net filter where you can get the clogs out,,,
incompatibility,4.0,white trim instead of silver as pictured does not match the picture i received an item with white trim instead of the pictured silver trim not sure if it is a description error or if this is the correct item my model fridge has the silver trim did not want the hassle of returning and trying to for the correct one luckily the trim piece is easy to pop and swap out worked out fine,,,
build_quality,1.0,flimsy very cheap looking,,,
