parent_asin,year_month,n_reviews_t,n_reviews_p3,text_reliability,topic,topic_label,rate_t,rate_p3,rate_t_shrunk,delta,is_surge,count_t,surge_confidence
B07M8JMYHQ,2017-10,10,24.0,0.6667,durability_failure,내구성 고장,0.6,0.08333,0.42537,0.51667,1,6,strong
B082KN5V6G,2021-03,6,20.0,0.5455,durability_failure,내구성 고장,0.66667,0.15,0.39824,0.51667,1,4,moderate
B07B5YTQ31,2018-10,7,10.0,0.5833,durability_failure,내구성 고장,0.71429,0.2,0.44838,0.51429,1,5,moderate
B01NBMCGJY,2023-01,7,17.0,0.5833,incompatibility,호환 및 규격,0.57143,0.05882,0.35,0.51261,1,4,moderate
B08BPDTL1H,2022-07,7,17.0,0.5833,durability_failure,내구성 고장,0.57143,0.05882,0.36505,0.51261,1,4,moderate
B078G99FYD,2018-08,7,29.0,0.5833,durability_failure,내구성 고장,0.85714,0.34483,0.53172,0.51232,1,6,moderate
B07S61G1RQ,2020-04,5,38.0,0.5,incompatibility,호환 및 규격,0.8,0.28947,0.41999,0.51053,1,4,moderate
B08RYGY4HT,2021-04,5,11.0,0.5,incompatibility,호환 및 규격,0.6,0.09091,0.31999,0.50909,1,3,moderate
B07GVPN4M6,2022-05,5,11.0,0.5,durability_failure,내구성 고장,0.6,0.09091,0.33806,0.50909,1,3,moderate
B07KF8VK8C,2022-03,7,16.0,0.5833,performance,성능 미달,0.57143,0.0625,0.34398,0.50893,1,4,moderate
B0BXHF9S26,2021-02,8,6.0,0.6154,durability_failure,내구성 고장,0.5,0.0,0.33697,0.5,1,4,moderate
B07DLCNKPF,2021-03,6,6.0,0.5455,performance,성능 미달,0.5,0.0,0.28434,0.5,1,3,moderate
B07DLCNKPF,2021-04,6,8.0,0.5455,incompatibility,호환 및 규격,0.5,0.0,0.2909,0.5,1,3,moderate
B0027E8EXC,2022-06,6,6.0,0.5455,purchase_warning,구매 경고,0.5,0.0,0.28533,0.5,1,3,moderate
B0899NYBCC,2023-02,6,5.0,0.5455,durability_failure,내구성 고장,0.5,0.0,0.30733,0.5,1,3,moderate
B075M6J6X8,2020-07,6,15.0,0.5455,durability_failure,내구성 고장,0.5,0.0,0.30733,0.5,1,3,moderate
B01J3RXXGS,2017-11,10,8.0,0.6667,incompatibility,호환 및 규격,0.5,0.0,0.34666,0.5,1,5,strong
B07WMMW2W4,2021-08,5,20.0,0.5,durability_failure,내구성 고장,0.6,0.1,0.33806,0.5,1,3,moderate
B097DRTMK3,2022-10,6,14.0,0.5455,incompatibility,호환 및 규격,0.5,0.0,0.2909,0.5,1,3,moderate
B01J664VSA,2018-11,6,5.0,0.5455,performance,성능 미달,0.5,0.0,0.28434,0.5,1,3,moderate
B012YQL5IS,2019-12,6,7.0,0.5455,performance,성능 미달,0.5,0.0,0.28434,0.5,1,3,moderate
B01G4T47ZO,2018-10,6,7.0,0.5455,purchase_warning,구매 경고,0.5,0.0,0.28533,0.5,1,3,moderate
B00ULLTQH6,2020-06,6,18.0,0.5455,durability_failure,내구성 고장,0.66667,0.16667,0.39824,0.5,1,4,moderate
B076JHTQD8,2016-06,8,4.0,0.6154,durability_failure,내구성 고장,0.5,0.0,0.33697,0.5,1,4,moderate
B076QJ2HXJ,2019-11,6,8.0,0.5455,durability_failure,내구성 고장,0.5,0.0,0.30733,0.5,1,3,moderate
B00LIAP2ZY,2018-07,6,3.0,0.5455,durability_failure,내구성 고장,0.5,0.0,0.30733,0.5,1,3,moderate
B07B9LT3YS,2020-01,6,15.0,0.5455,leak_damage,누수 및 파손 피해,0.5,0.0,0.28062,0.5,1,3,moderate
B07TNZBXKL,2021-04,6,17.0,0.5455,durability_failure,내구성 고장,0.5,0.0,0.30733,0.5,1,3,moderate
B07WRPZVTW,2020-08,6,4.0,0.5455,return_blocked,반품 차단,0.5,0.0,0.27457,0.5,1,3,moderate
B0742D5HSG,2021-03,6,12.0,0.5455,durability_failure,내구성 고장,0.66667,0.16667,0.39824,0.5,1,4,moderate
B074R7GK8V,2018-11,6,16.0,0.5455,leak_damage,누수 및 파손 피해,0.5,0.0,0.28062,0.5,1,3,moderate
B008DJMZGC,2016-05,8,8.0,0.6154,durability_failure,내구성 고장,0.5,0.0,0.33697,0.5,1,4,moderate
B081ZMYCVM,2022-08,6,16.0,0.5455,purchase_warning,구매 경고,0.5,0.0,0.28533,0.5,1,3,moderate
B079B3Z8MS,2019-02,6,10.0,0.5455,purchase_warning,구매 경고,0.5,0.0,0.28533,0.5,1,3,moderate
B07DPDJNDB,2021-01,6,17.0,0.5455,performance,성능 미달,0.5,0.0,0.28434,0.5,1,3,moderate
B08HD1K6D9,2021-12,6,5.0,0.5455,leak_damage,누수 및 파손 피해,0.5,0.0,0.28062,0.5,1,3,moderate
B07QFG55SY,2016-08,6,8.0,0.5455,incompatibility,호환 및 규격,0.5,0.0,0.2909,0.5,1,3,moderate
B09MM7BH9P,2018-07,6,38.0,0.5455,refund_warranty_cs,환불 보증 고객대응,0.5,0.0,0.28204,0.5,1,3,moderate
B08QMKDD3D,2021-08,6,1.0,0.5455,durability_failure,내구성 고장,0.5,0.0,0.30733,0.5,1,3,moderate
B08R7LF2K2,2021-03,6,2.0,0.5455,durability_failure,내구성 고장,0.5,0.0,0.30733,0.5,1,3,moderate
B08R9W68NG,2021-11,8,20.0,0.6154,performance,성능 미달,0.75,0.25,0.47136,0.5,1,6,moderate
B00PBF3T3E,2017-03,6,12.0,0.5455,purchase_warning,구매 경고,0.5,0.0,0.28533,0.5,1,3,moderate
B0895G7PWC,2022-07,6,3.0,0.5455,incompatibility,호환 및 규격,0.5,0.0,0.2909,0.5,1,3,moderate
B0C6CLBBQ1,2018-08,6,14.0,0.5455,incompatibility,호환 및 규격,0.5,0.0,0.2909,0.5,1,3,moderate
B0035RQF8G,2017-03,15,23.0,0.75,incompatibility,호환 및 규격,0.66667,0.17391,0.51,0.49275,1,10,strong
B07B5YTQ31,2018-11,8,13.0,0.6154,durability_failure,내구성 고장,0.875,0.38462,0.56774,0.49038,1,7,moderate
B0000CF4DJ,2020-10,13,56.0,0.7222,performance,성능 미달,0.84615,0.35714,0.61821,0.48901,1,11,strong
B09J4C856B,2021-06,5,9.0,0.5,durability_failure,내구성 고장,0.6,0.11111,0.33806,0.48889,1,3,moderate
B083HRNMML,2020-12,5,9.0,0.5,durability_failure,내구성 고장,0.6,0.11111,0.33806,0.48889,1,3,moderate
B07PCKB1NF,2021-01,5,9.0,0.5,purchase_warning,구매 경고,0.6,0.11111,0.31386,0.48889,1,3,moderate
B087PZN98S,2021-03,7,12.0,0.5833,durability_failure,내구성 고장,0.57143,0.08333,0.36505,0.4881,1,4,moderate
B09B18P5RG,2022-06,13,116.0,0.7222,refund_warranty_cs,환불 보증 고객대응,0.61538,0.12931,0.45014,0.48607,1,8,strong
B0C4DDSX6T,2022-09,5,35.0,0.5,durability_failure,내구성 고장,0.6,0.11429,0.33806,0.48571,1,3,moderate
B00E0CWPZ2,2019-01,6,22.0,0.5455,durability_failure,내구성 고장,0.66667,0.18182,0.39824,0.48485,1,4,moderate
B08136MBYD,2022-02,7,23.0,0.5833,durability_failure,내구성 고장,0.57143,0.08696,0.36505,0.48447,1,4,moderate
B083YTV3R1,2020-11,5,17.0,0.5,purchase_warning,구매 경고,0.6,0.11765,0.31386,0.48235,1,3,moderate
B00UF4P3XA,2019-09,5,17.0,0.5,leak_damage,누수 및 파손 피해,0.6,0.11765,0.30868,0.48235,1,3,moderate
B08L8RDNP7,2022-09,9,43.0,0.6429,durability_failure,내구성 고장,0.66667,0.18605,0.45576,0.48062,1,6,moderate
B0C5M88YZ8,2022-09,5,33.0,0.5,refund_warranty_cs,환불 보증 고객대응,0.6,0.12121,0.31025,0.47879,1,3,moderate
B087WJCW3P,2021-01,8,22.0,0.6154,durability_failure,내구성 고장,0.75,0.27273,0.49081,0.47727,1,6,moderate
B00MU2WHFM,2016-04,6,40.0,0.5455,durability_failure,내구성 고장,0.5,0.025,0.30733,0.475,1,3,moderate
B079ZYNP7M,2018-12,5,8.0,0.5,durability_failure,내구성 고장,0.6,0.125,0.33806,0.475,1,3,moderate
B07MCTYSXN,2022-04,5,8.0,0.5,durability_failure,내구성 고장,0.6,0.125,0.33806,0.475,1,3,moderate
B01DB1OYEM,2016-08,5,8.0,0.5,durability_failure,내구성 고장,0.6,0.125,0.33806,0.475,1,3,moderate
B099PQS1C5,2022-04,9,36.0,0.6429,durability_failure,내구성 고장,0.55556,0.08333,0.38433,0.47222,1,5,moderate
B0B5RMX4HM,2023-02,9,12.0,0.6429,durability_failure,내구성 고장,0.55556,0.08333,0.38433,0.47222,1,5,moderate
B07DNXWC18,2021-01,9,13.0,0.6429,durability_failure,내구성 고장,0.77778,0.30769,0.52718,0.47009,1,7,moderate
B08224JXXY,2020-04,5,23.0,0.5,durability_failure,내구성 고장,0.6,0.13043,0.33806,0.46957,1,3,moderate
B07DQFHTVS,2022-01,6,31.0,0.5455,durability_failure,내구성 고장,0.5,0.03226,0.30733,0.46774,1,3,moderate
B0176O6TMU,2019-10,8,19.0,0.6154,build_quality,제작 품질,0.625,0.15789,0.39274,0.46711,1,5,moderate
B085WQM7CY,2021-03,14,12.0,0.7368,incompatibility,호환 및 규격,0.71429,0.25,0.53684,0.46429,1,10,strong
B07QPBTR4B,2016-06,8,21.0,0.6154,incompatibility,호환 및 규격,0.75,0.28571,0.47692,0.46429,1,6,moderate
B07XS8DVPT,2021-12,7,75.0,0.5833,durability_failure,내구성 고장,0.71429,0.25333,0.44838,0.46095,1,5,moderate
B00MU2WHFM,2018-09,6,24.0,0.5455,durability_failure,내구성 고장,0.5,0.04167,0.30733,0.45833,1,3,moderate
B07Q5GR251,2019-11,14,65.0,0.7368,durability_failure,내구성 고장,0.64286,0.18462,0.49372,0.45824,1,9,strong
B0B7BJZ4LX,2022-09,5,14.0,0.5,refund_warranty_cs,환불 보증 고객대응,0.6,0.14286,0.31025,0.45714,1,3,moderate
B074QLYQ59,2021-05,5,7.0,0.5,durability_failure,내구성 고장,0.6,0.14286,0.33806,0.45714,1,3,moderate
B07SHPNR3V,2021-07,5,21.0,0.5,build_quality,제작 품질,0.6,0.14286,0.31056,0.45714,1,3,moderate
B07QL69VJJ,2018-03,5,14.0,0.5,incompatibility,호환 및 규격,0.6,0.14286,0.31999,0.45714,1,3,moderate
B08MQT4B5K,2021-06,10,23.0,0.6667,build_quality,제작 품질,0.5,0.04348,0.34037,0.45652,1,5,strong
B07YNGGT3N,2021-01,9,10.0,0.6429,incompatibility,호환 및 규격,0.55556,0.1,0.37142,0.45556,1,5,moderate
B07PCKB1NF,2020-01,6,22.0,0.5455,incompatibility,호환 및 규격,0.5,0.04545,0.2909,0.45455,1,3,moderate
B089Y1FTCH,2021-03,6,22.0,0.5455,build_quality,제작 품질,0.5,0.04545,0.28232,0.45455,1,3,moderate
B0C4KDX5LZ,2022-02,11,1.0,0.6875,incompatibility,호환 및 규격,0.45455,0.0,0.325,0.45455,1,5,strong
B07CYLK6JW,2019-04,5,48.0,0.5,durability_failure,내구성 고장,0.6,0.14583,0.33806,0.45417,1,3,moderate
B019JD7790,2019-04,7,17.0,0.5833,refund_warranty_cs,환불 보증 고객대응,0.57143,0.11765,0.34187,0.45378,1,4,moderate
B00IB4BMDQ,2021-04,6,21.0,0.5455,build_quality,제작 품질,0.5,0.04762,0.28232,0.45238,1,3,moderate
B0156NAK3C,2016-10,6,20.0,0.5455,incompatibility,호환 및 규격,0.5,0.05,0.2909,0.45,1,3,moderate
B081TLZFK8,2022-09,6,20.0,0.5455,purchase_warning,구매 경고,0.5,0.05,0.28533,0.45,1,3,moderate
B01A4JYDFY,2017-07,10,20.0,0.6667,incompatibility,호환 및 규격,0.5,0.05,0.34666,0.45,1,5,strong
B0053F7UIM,2020-06,9,25.0,0.6429,durability_failure,내구성 고장,0.88889,0.44,0.59861,0.44889,1,8,moderate
B07QGQ4RJZ,2022-11,8,19.0,0.6154,incompatibility,호환 및 규격,0.5,0.05263,0.32307,0.44737,1,4,moderate
B01G5GB2NQ,2019-05,5,13.0,0.5,durability_failure,내구성 고장,0.6,0.15385,0.33806,0.44615,1,3,moderate
B0895N8M94,2021-03,6,18.0,0.5455,incompatibility,호환 및 규격,0.66667,0.22222,0.38181,0.44444,1,4,moderate
B07QRZPDPN,2020-02,6,9.0,0.5455,incompatibility,호환 및 규격,0.66667,0.22222,0.38181,0.44444,1,4,moderate
B0831SSSCH,2022-11,6,18.0,0.5455,durability_failure,내구성 고장,0.66667,0.22222,0.39824,0.44444,1,4,moderate
B0BMPQXGMG,2019-06,12,27.0,0.7059,durability_failure,내구성 고장,0.66667,0.22222,0.49298,0.44444,1,8,strong
B07QPBTR4B,2017-01,6,18.0,0.5455,incompatibility,호환 및 규격,0.83333,0.38889,0.47272,0.44444,1,5,moderate
B0773FWJ2Y,2019-11,6,9.0,0.5455,performance,성능 미달,0.66667,0.22222,0.37525,0.44444,1,4,moderate
B09YXNXDGB,2021-11,9,9.0,0.6429,performance,성능 미달,0.55556,0.11111,0.36627,0.44444,1,5,moderate
B07YFDB6Y6,2020-05,12,27.0,0.7059,durability_failure,내구성 고장,0.66667,0.22222,0.49298,0.44444,1,8,strong
B0C4T6G356,2022-03,5,32.0,0.5,durability_failure,내구성 고장,0.6,0.15625,0.33806,0.44375,1,3,moderate
B00MOCCSFW,2022-08,10,19.0,0.6667,durability_failure,내구성 고장,0.6,0.15789,0.42537,0.44211,1,6,strong
B01DB1OX5W,2017-07,7,23.0,0.5833,performance,성능 미달,0.57143,0.13043,0.34398,0.44099,1,4,moderate
B09HCR9X6L,2022-11,8,38.0,0.6154,incompatibility,호환 및 규격,0.625,0.18421,0.4,0.44079,1,5,moderate
B00J7CNC7K,2020-10,5,25.0,0.5,performance,성능 미달,0.6,0.16,0.31277,0.44,1,3,moderate
B07BWLVTNH,2020-10,5,25.0,0.5,durability_failure,내구성 고장,0.6,0.16,0.33806,0.44,1,3,moderate
B082LZJQZ5,2020-08,13,20.0,0.7222,durability_failure,내구성 고장,0.53846,0.1,0.41003,0.43846,1,7,strong
B0BWD9WGG9,2021-12,9,17.0,0.6429,durability_failure,내구성 고장,0.55556,0.11765,0.38433,0.43791,1,5,moderate
B08RYGY4HT,2021-05,6,16.0,0.5455,durability_failure,내구성 고장,0.5,0.0625,0.30733,0.4375,1,3,moderate
B08RMZNGL3,2022-10,8,16.0,0.6154,durability_failure,내구성 고장,0.625,0.1875,0.41389,0.4375,1,5,moderate
B000FNJ5N0,2016-02,6,16.0,0.5455,incompatibility,호환 및 규격,0.5,0.0625,0.2909,0.4375,1,3,moderate
B09JK3TG4V,2021-01,23,6.0,0.8214,incompatibility,호환 및 규격,0.43478,0.0,0.36428,0.43478,1,10,strong
B0BW9R4245,2021-01,11,18.0,0.6875,durability_failure,내구성 고장,0.54545,0.11111,0.39879,0.43434,1,6,strong
B07VRTN6JX,2022-12,8,15.0,0.6154,build_quality,제작 품질,0.5,0.06667,0.31581,0.43333,1,4,moderate
B098DKM1V6,2022-05,6,15.0,0.5455,durability_failure,내구성 고장,0.5,0.06667,0.30733,0.43333,1,3,moderate
B07T7VNMKS,2019-09,5,6.0,0.5,durability_failure,내구성 고장,0.6,0.16667,0.33806,0.43333,1,3,moderate
B07C1DH3XW,2019-12,5,12.0,0.5,durability_failure,내구성 고장,0.6,0.16667,0.33806,0.43333,1,3,moderate
B09TB3Y5VH,2022-11,10,12.0,0.6667,incompatibility,호환 및 규격,0.6,0.16667,0.41333,0.43333,1,6,strong
B08ZCG9TH1,2021-10,6,15.0,0.5455,durability_failure,내구성 고장,0.5,0.06667,0.30733,0.43333,1,3,moderate
B096XNY1YC,2021-01,5,6.0,0.5,leak_damage,누수 및 파손 피해,0.6,0.16667,0.30868,0.43333,1,3,moderate
B07VRTN6JX,2022-12,8,15.0,0.6154,durability_failure,내구성 고장,0.5,0.06667,0.33697,0.43333,1,4,moderate
B07W4MCG4Q,2022-03,6,15.0,0.5455,durability_failure,내구성 고장,0.5,0.06667,0.30733,0.43333,1,3,moderate
B00545AQSW,2017-12,9,24.0,0.6429,durability_failure,내구성 고장,0.55556,0.125,0.38433,0.43056,1,5,moderate
B08MMJ8RM7,2017-09,8,25.0,0.6154,durability_failure,내구성 고장,0.75,0.32,0.49081,0.43,1,6,moderate
B088TTJ7HZ,2022-12,14,2.0,0.7368,durability_failure,내구성 고장,0.42857,0.0,0.33582,0.42857,1,6,strong
B00MAGCJEC,2016-01,6,14.0,0.5455,durability_failure,내구성 고장,0.5,0.07143,0.30733,0.42857,1,3,moderate
B01KYGAUTU,2020-08,7,8.0,0.5833,incompatibility,호환 및 규격,0.42857,0.0,0.26666,0.42857,1,3,moderate
B003BIGD4U,2017-04,7,12.0,0.5833,incompatibility,호환 및 규격,0.42857,0.0,0.26666,0.42857,1,3,moderate
B01ENXS1C8,2022-01,7,2.0,0.5833,performance,성능 미달,0.42857,0.0,0.26064,0.42857,1,3,moderate
B07TKGJMJT,2021-12,7,1.0,0.5833,performance,성능 미달,0.42857,0.0,0.26064,0.42857,1,3,moderate
B09GHK3F4Y,2019-03,7,13.0,0.5833,performance,성능 미달,0.42857,0.0,0.26064,0.42857,1,3,moderate
B07HKCQN2X,2022-05,7,24.0,0.5833,durability_failure,내구성 고장,0.42857,0.0,0.28172,0.42857,1,3,moderate
B07MCTYSXN,2019-04,7,6.0,0.5833,durability_failure,내구성 고장,0.42857,0.0,0.28172,0.42857,1,3,moderate
B0B7BJZ4LX,2022-08,7,9.0,0.5833,durability_failure,내구성 고장,0.42857,0.0,0.28172,0.42857,1,3,moderate
B07488SRD7,2017-11,6,14.0,0.5455,purchase_warning,구매 경고,0.5,0.07143,0.28533,0.42857,1,3,moderate
B08LPPH87V,2022-03,7,8.0,0.5833,purchase_warning,구매 경고,0.42857,0.0,0.26155,0.42857,1,3,moderate
B00545AQSW,2017-10,6,14.0,0.5455,durability_failure,내구성 고장,0.5,0.07143,0.30733,0.42857,1,3,moderate
B000IJTBFS,2020-08,7,10.0,0.5833,purchase_warning,구매 경고,0.42857,0.0,0.26155,0.42857,1,3,moderate
B07S61G1RQ,2021-11,7,22.0,0.5833,performance,성능 미달,0.42857,0.0,0.26064,0.42857,1,3,moderate
B0BY1YNR34,2021-03,7,9.0,0.5833,performance,성능 미달,0.42857,0.0,0.26064,0.42857,1,3,moderate
B091FY8V8J,2021-09,7,4.0,0.5833,durability_failure,내구성 고장,0.42857,0.0,0.28172,0.42857,1,3,moderate
B00KAS7794,2017-05,7,10.0,0.5833,leak_damage,누수 및 파손 피해,0.42857,0.0,0.25723,0.42857,1,3,moderate
B00UF4P3XA,2017-03,7,7.0,0.5833,leak_damage,누수 및 파손 피해,0.57143,0.14286,0.34057,0.42857,1,4,moderate
B07F6WGWSJ,2019-12,7,6.0,0.5833,durability_failure,내구성 고장,0.42857,0.0,0.28172,0.42857,1,3,moderate
B0C6PYQ6XZ,2022-07,7,13.0,0.5833,performance,성능 미달,0.42857,0.0,0.26064,0.42857,1,3,moderate
