year_month,active_product_count,product_month_count,total_review_count,product_months_ge_5,product_months_ge_10
2022-06,8465,8465,22256,915,337
2022-07,9157,9157,26447,1119,426
2022-08,9693,9693,28658,1200,446
2022-09,9191,9191,25238,1083,403
2022-10,9371,9371,25616,1068,407
2022-11,9150,9150,24626,1059,400
2022-12,9781,9781,26951,1148,460
2023-01,10376,10376,29967,1303,510
2023-02,9291,9291,24678,1056,396
2023-03,10157,10157,28182,1252,455
